id	direction	physical_keys	english_evidence	korean_evidence	authoritative	expected_action	expected_original	expected_replacement	category
se_l2k_structural	latin_to_korean	qlfem	miss	miss	yes	correct	qlfem	빌드	structural_with_available_evidence
se_l2k_korean_target	latin_to_korean	gksrmf	miss	hit	yes	correct	gksrmf	한글	authoritative_korean_target
se_l2k_plausible_korean_target	latin_to_korean	dufma	miss	hit	yes	correct	dufma	여름	authoritative_target_overrides_latin_shape
se_l2k_source_collision	latin_to_korean	gksrmf	hit	hit	yes	preserve	gksrmf	-	authoritative_source_wins
se_l2k_all_caps	latin_to_korean	GKSK	miss	hit	yes	preserve	GKSK	-	all_caps_precedes_evidence
se_k2l_vocal	korean_to_latin	vocal	hit	miss	yes	correct	팿미	vocal	fully_composed_exclusive_target
se_k2l_vocal_collision	korean_to_latin	vocal	hit	hit	yes	preserve	팿미	-	fully_composed_source_collision
se_k2l_vocal_no_hits	korean_to_latin	vocal	miss	miss	yes	preserve	팿미	-	fully_composed_target_missing
se_k2l_vocal_unavailable	korean_to_latin	vocal	hit	miss	no	preserve	팿미	-	fully_composed_unavailable
se_k2l_good	korean_to_latin	good	hit	miss	yes	correct	해ㅐㅇ	good	trailing_jamo_exclusive_target
se_k2l_good_collision	korean_to_latin	good	hit	hit	yes	preserve	해ㅐㅇ	-	trailing_jamo_source_collision
se_k2l_good_no_hits	korean_to_latin	good	miss	miss	yes	preserve	해ㅐㅇ	-	trailing_jamo_target_missing
se_k2l_dog	korean_to_latin	dog	hit	miss	yes	correct	앻	dog	three_stroke_fully_composed
se_k2l_auto	korean_to_latin	auto	hit	miss	yes	correct	며새	auto	bundled_target_still_requires_authority
se_k2l_code	korean_to_latin	code	hit	miss	yes	correct	챙ㄷ	code	trailing_bundled_target_still_requires_authority
se_k2l_worn_collision	korean_to_latin	worn	hit	hit	yes	preserve	재구	-	known_source_collision
se_k2l_see	korean_to_latin	see	hit	miss	yes	correct	ㄴㄷㄷ	see	legitimate_double_letter
se_k2l_eee	korean_to_latin	eee	hit	miss	yes	preserve	ㄷㄷㄷ	-	whole_repeated_jamo_hard_veto
se_k2l_coffee	korean_to_latin	coffee	hit	miss	yes	correct	챌ㄹㄷㄷ	coffee	trailing_jamo_dictionary_override
se_k2l_nth	korean_to_latin	nth	hit	miss	yes	correct	ㅜ소	nth	dictionary_overrides_orthographic_heuristic
